time,primal_bound,dual_bound,gap_percent,event_type,node_count
0.07,1e+20,0.0,1e+22,BESTSOLFOUND,1
0.17,4374.0,1033.65,323.16,LPSOLVED,1
0.45,4374.0,1042.12,319.72,LPSOLVED,2
0.55,4374.0,1042.12,319.72,LPSOLVED,2
0.58,4374.0,1042.12,319.72,LPSOLVED,3
0.6,4374.0,1042.12,319.72,LPSOLVED,4
0.62,4374.0,1042.12,319.72,LPSOLVED,5
0.64,4374.0,1042.12,319.72,LPSOLVED,6
0.68,4374.0,1042.12,319.72,LPSOLVED,7
0.7,4374.0,1042.12,319.72,LPSOLVED,8
0.72,4374.0,1042.12,319.72,LPSOLVED,9
0.73,4374.0,1042.12,319.72,LPSOLVED,10
0.87,4374.0,1042.12,319.72,LPSOLVED,11
0.91,4374.0,1042.12,319.72,LPSOLVED,12
0.92,4374.0,1042.12,319.72,LPSOLVED,13
0.93,4374.0,1042.12,319.72,LPSOLVED,14
0.94,4374.0,1042.12,319.72,LPSOLVED,15
0.95,4374.0,1042.12,319.72,BESTSOLFOUND,15
0.96,1614.0,1046.2,54.27,LPSOLVED,16
0.99,1614.0,1048.19,53.98,LPSOLVED,17
1.04,1614.0,1048.19,53.98,LPSOLVED,18
1.07,1614.0,1048.19,53.98,LPSOLVED,19
1.1,1614.0,1048.19,53.98,LPSOLVED,20
1.15,1614.0,1048.19,53.98,LPSOLVED,21
1.16,1614.0,1048.19,53.98,LPSOLVED,22
1.19,1614.0,1048.19,53.98,LPSOLVED,23
1.2,1614.0,1048.19,53.98,LPSOLVED,24
1.4,1614.0,1048.19,53.98,LPSOLVED,25
1.4,1614.0,1048.19,53.98,LPSOLVED,25
1.42,1614.0,1048.19,53.98,LPSOLVED,26
1.46,1614.0,1048.19,53.98,LPSOLVED,27
1.57,1614.0,1048.19,53.98,BESTSOLFOUND,27
1.58,1361.0,1054.05,29.12,LPSOLVED,28
1.58,1361.0,1054.05,29.12,LPSOLVED,28
1.58,1361.0,1054.24,29.1,LPSOLVED,29
1.65,1361.0,1054.24,29.1,LPSOLVED,30
1.65,1361.0,1054.24,29.1,LPSOLVED,30
1.67,1361.0,1054.24,29.1,LPSOLVED,31
1.67,1361.0,1054.24,29.1,LPSOLVED,31
1.71,1361.0,1054.24,29.1,LPSOLVED,32
1.71,1361.0,1054.24,29.1,LPSOLVED,33
1.71,1361.0,1054.24,29.1,LPSOLVED,33
1.72,1361.0,1054.24,29.1,LPSOLVED,34
1.72,1361.0,1054.24,29.1,LPSOLVED,34
1.73,1361.0,1054.24,29.1,LPSOLVED,35
1.73,1361.0,1054.24,29.1,LPSOLVED,35
1.89,1361.0,1054.24,29.1,LPSOLVED,36
1.89,1361.0,1054.24,29.1,LPSOLVED,36
1.9,1361.0,1054.24,29.1,LPSOLVED,37
1.9,1361.0,1054.24,29.1,LPSOLVED,37
1.91,1361.0,1054.24,29.1,LPSOLVED,38
1.91,1361.0,1054.24,29.1,LPSOLVED,38
1.91,1361.0,1054.24,29.1,LPSOLVED,38
1.91,1361.0,1054.24,29.1,LPSOLVED,38
1.92,1361.0,1054.24,29.1,LPSOLVED,39
1.92,1361.0,1054.24,29.1,BESTSOLFOUND,39
1.92,1357.0,1054.24,28.72,LPSOLVED,40
1.92,1357.0,1054.24,28.72,LPSOLVED,40
1.94,1357.0,1054.24,28.72,LPSOLVED,41
1.94,1357.0,1054.24,28.72,LPSOLVED,41
1.94,1357.0,1054.24,28.72,LPSOLVED,42
1.94,1357.0,1054.24,28.72,LPSOLVED,42
1.97,1357.0,1054.24,28.72,LPSOLVED,43
1.97,1357.0,1054.24,28.72,LPSOLVED,43
1.98,1357.0,1054.24,28.72,LPSOLVED,43
1.98,1357.0,1054.24,28.72,LPSOLVED,44
1.98,1357.0,1054.24,28.72,LPSOLVED,44
1.99,1357.0,1054.24,28.72,LPSOLVED,45
1.99,1357.0,1054.24,28.72,LPSOLVED,45
2.01,1357.0,1054.24,28.72,LPSOLVED,46
2.01,1357.0,1054.24,28.72,LPSOLVED,46
2.12,1357.0,1054.24,28.72,LPSOLVED,47
2.12,1357.0,1054.24,28.72,LPSOLVED,47
2.14,1357.0,1054.24,28.72,LPSOLVED,48
2.17,1357.0,1054.24,28.72,LPSOLVED,49
2.17,1357.0,1054.24,28.72,LPSOLVED,49
2.18,1357.0,1054.24,28.72,LPSOLVED,50
2.18,1357.0,1054.24,28.72,LPSOLVED,50
2.18,1357.0,1054.24,28.72,LPSOLVED,51
2.18,1357.0,1054.24,28.72,LPSOLVED,51
2.18,1357.0,1054.24,28.72,LPSOLVED,51
2.18,1357.0,1054.24,28.72,LPSOLVED,51
2.19,1357.0,1054.24,28.72,LPSOLVED,51
2.19,1357.0,1054.24,28.72,LPSOLVED,51
2.19,1357.0,1054.24,28.72,LPSOLVED,51
2.19,1357.0,1054.24,28.72,LPSOLVED,51
2.2,1357.0,1054.24,28.72,LPSOLVED,53
2.2,1357.0,1054.24,28.72,LPSOLVED,53
2.22,1357.0,1054.24,28.72,LPSOLVED,54
2.22,1357.0,1054.24,28.72,LPSOLVED,54
