time,total_nodes,depth,lp_iterations,dual_bound,primal_bound
0.04,1,0,0,-1e+20,1e+20
0.44,2,1,3477,1042.1218492701194,4374.0
0.58,3,2,3639,1042.1218492701194,4374.0
0.6,4,3,3708,1042.1218492701194,4374.0
0.62,5,4,3887,1042.1218492701194,4374.0
0.64,6,5,3948,1042.1218492701194,4374.0
0.67,7,6,4020,1042.1218492701194,4374.0
0.7,8,7,4237,1042.1218492701194,4374.0
0.72,9,8,4267,1042.1218492701194,4374.0
0.73,10,9,4296,1042.1218492701194,4374.0
0.73,11,10,4394,1042.1218492701194,4374.0
0.91,12,11,4608,1042.1218492701194,4374.0
0.92,13,12,4680,1042.1218492701194,4374.0
0.93,14,13,4736,1042.1218492701194,4374.0
0.93,15,14,4807,1042.1218492701194,4374.0
0.95,16,1,5170,1042.1218492701194,1614.0
0.99,17,2,5335,1048.1914342951557,1614.0
1.03,18,3,5359,1048.1914342951557,1614.0
1.07,19,4,5538,1048.1914342951557,1614.0
1.1,20,5,5545,1048.1914342951557,1614.0
1.14,21,6,5603,1048.1914342951557,1614.0
1.16,22,7,5704,1048.1914342951557,1614.0
1.19,23,8,5750,1048.1914342951557,1614.0
1.2,24,9,5824,1048.1914342951557,1614.0
1.2,25,10,5950,1048.1914342951557,1614.0
1.42,26,11,6224,1048.1914342951557,1614.0
1.46,27,12,6291,1048.1914342951557,1614.0
1.57,28,2,9295,1048.1914342951557,1361.0
1.58,29,3,9412,1054.2385867859016,1361.0
1.65,30,4,9443,1054.2385867859016,1361.0
1.66,31,5,9499,1054.2385867859016,1361.0
1.71,32,6,9657,1054.2385867859016,1361.0
1.71,33,7,9670,1054.2385867859016,1361.0
1.72,34,8,9687,1054.2385867859016,1361.0
1.73,35,9,9702,1054.2385867859016,1361.0
1.74,36,10,9816,1054.2385867859016,1361.0
1.9,37,11,10032,1054.2385867859016,1361.0
1.91,38,12,10109,1054.2385867859016,1361.0
1.92,39,13,10128,1054.2385867859016,1361.0
1.92,40,3,10145,1054.2385867859016,1357.0
1.94,41,4,10279,1054.2385867859016,1357.0
1.94,42,5,10313,1054.2385867859016,1357.0
1.97,43,6,10340,1054.2385867859016,1357.0
1.98,44,7,10353,1054.2385867859016,1357.0
1.99,45,8,10386,1054.2385867859016,1357.0
2.01,46,9,10430,1054.2385867859016,1357.0
2.01,47,10,10438,1054.2385867859016,1357.0
2.14,48,11,10645,1054.2385867859016,1357.0
2.17,49,12,10659,1054.2385867859016,1357.0
2.17,50,13,10888,1054.2385867859016,1357.0
2.18,51,13,10933,1054.2385867859016,1357.0
2.19,52,14,10975,1054.2385867859016,1357.0
2.19,53,4,10994,1054.2385867859016,1357.0
2.21,54,5,11088,1054.2385867859016,1357.0
2.26,55,6,11127,1054.2385867859016,1357.0
2.28,56,7,11304,1054.2385867859016,1357.0
2.29,57,8,11349,1054.2385867859016,1357.0
2.3,58,9,11437,1054.2385867859016,1357.0
2.3,59,10,11496,1054.2385867859016,1357.0
2.48,60,11,11798,1054.2385867859016,1357.0
2.5,61,12,11813,1054.2385867859016,1357.0
2.5,62,13,11882,1054.2385867859016,1357.0
2.5,63,14,11959,1054.2385867859016,1357.0
2.51,64,15,11968,1054.2385867859016,1357.0
2.54,65,6,12074,1054.2385867859016,1357.0
2.55,66,7,12184,1054.2385867859016,1357.0
2.57,67,8,12280,1054.2385867859016,1357.0
2.57,68,9,12386,1054.2385867859016,1357.0
2.57,69,10,12411,1054.2385867859016,1357.0
2.77,70,11,12694,1054.2385867859016,1357.0
2.79,71,12,12721,1054.2385867859016,1357.0
2.81,72,13,12814,1054.2385867859016,1357.0
2.81,73,14,12919,1054.2385867859016,1357.0
2.81,74,6,12927,1054.2385867859016,1292.0
2.83,75,7,12992,1054.2385867859016,1292.0
2.84,76,8,13049,1054.2385867859016,1292.0
2.86,77,9,13157,1054.2385867859016,1292.0
2.86,78,10,13200,1054.2385867859016,1292.0
3.05,79,10,13352,1054.2385867859016,1292.0
3.07,80,5,13464,1054.2385867859016,1292.0
3.09,81,6,13578,1054.2385867859016,1292.0
3.11,82,7,13676,1054.2385867859016,1292.0
3.11,83,8,13711,1054.2385867859016,1292.0
3.12,84,9,13748,1054.2385867859016,1292.0
3.12,85,10,13856,1054.2385867859016,1292.0
3.31,86,11,14251,1054.2385867859016,1292.0
3.33,87,12,14327,1054.2385867859016,1292.0
3.35,88,12,14505,1054.2385867859016,1292.0
3.37,89,13,14536,1054.2385867859016,1292.0
3.37,90,14,14581,1054.2385867859016,1292.0
3.38,91,14,14585,1054.2385867859016,1292.0
3.38,92,8,14588,1054.2385867859016,1292.0
3.39,93,9,14650,1054.2385867859016,1292.0
3.39,94,10,14741,1054.2385867859016,1292.0
3.53,95,11,14902,1054.2385867859016,1292.0
3.57,96,12,15029,1054.2385867859016,1292.0
3.59,97,13,15047,1054.2385867859016,1292.0
3.59,98,14,15083,1054.2385867859016,1292.0
3.6,99,15,15134,1054.2385867859016,1292.0
3.6,100,16,15170,1054.2385867859016,1292.0
3.6,101,17,15205,1054.2385867859016,1292.0
3.6,102,18,15241,1054.2385867859016,1292.0
3.61,103,19,15265,1054.2385867859016,1292.0
3.61,104,9,15265,1054.2385867859016,1292.0
3.63,105,10,15306,1054.2385867859016,1292.0
3.77,106,11,15720,1054.2385867859016,1292.0
3.78,107,12,15868,1054.2385867859016,1292.0
3.78,108,13,15938,1054.2385867859016,1292.0
3.79,109,14,16077,1054.2385867859016,1292.0
3.8,110,15,16145,1054.2385867859016,1292.0
3.8,111,15,16148,1054.2385867859016,1292.0
3.8,112,6,16152,1054.2385867859016,1292.0
3.82,113,7,16213,1054.2385867859016,1292.0
3.83,114,8,16310,1054.2385867859016,1292.0
3.83,115,9,16363,1054.2385867859016,1292.0
3.84,116,10,16440,1054.2385867859016,1292.0
3.97,117,11,16583,1054.2385867859016,1292.0
3.98,118,12,16590,1054.2385867859016,1292.0
3.99,119,13,16658,1054.2385867859016,1292.0
3.99,120,14,16662,1054.2385867859016,1292.0
3.99,121,14,16665,1054.2385867859016,1292.0
3.99,122,7,16670,1054.2385867859016,1292.0
3.99,123,8,16764,1054.2385867859016,1292.0
4.0,124,9,16824,1054.2385867859016,1292.0
4.0,125,10,16941,1054.2385867859016,1292.0
4.11,126,11,17145,1054.2385867859016,1292.0
4.12,127,12,17197,1054.2385867859016,1292.0
4.12,128,12,17226,1054.2385867859016,1292.0
4.12,129,13,17237,1054.2385867859016,1292.0
4.12,130,13,17246,1054.2385867859016,1292.0
4.13,131,14,17264,1054.2385867859016,1292.0
4.13,132,14,17276,1054.2385867859016,1292.0
4.13,133,15,17305,1054.2385867859016,1292.0
4.13,134,15,17317,1054.2385867859016,1292.0
4.14,135,16,17357,1054.2385867859016,1292.0
4.14,136,16,17359,1054.2385867859016,1292.0
4.14,137,7,17360,1054.2385867859016,1292.0
4.16,138,8,17520,1054.2385867859016,1292.0
4.16,139,9,17613,1054.2385867859016,1292.0
4.16,140,10,17687,1054.2385867859016,1292.0
4.34,141,11,18015,1054.2385867859016,1292.0
4.35,142,12,18141,1054.2385867859016,1292.0
4.35,143,13,18283,1054.2385867859016,1292.0
4.36,144,14,18350,1054.2385867859016,1292.0
4.36,145,14,18356,1054.2385867859016,1292.0
4.36,146,8,18400,1054.2385867859016,1292.0
4.37,147,9,18495,1054.2385867859016,1292.0
4.38,148,10,18616,1054.2385867859016,1292.0
4.49,149,11,18863,1054.2385867859016,1292.0
4.5,150,12,18936,1054.2385867859016,1292.0
4.5,151,13,19033,1054.2385867859016,1292.0
4.5,152,14,19045,1054.2385867859016,1292.0
4.51,153,15,19083,1054.2385867859016,1292.0
4.51,154,15,19117,1054.2385867859016,1292.0
4.51,155,16,19128,1054.2385867859016,1292.0
4.52,156,17,19220,1054.2385867859016,1292.0
4.52,157,17,19220,1054.2385867859016,1292.0
4.52,158,18,19237,1054.2385867859016,1292.0
4.52,159,18,19241,1054.2385867859016,1292.0
4.52,160,19,19274,1054.2385867859016,1292.0
4.52,161,3,19277,1054.2385867859016,1292.0
4.54,162,4,19561,1059.588337198155,1292.0
4.54,163,5,19647,1059.588337198155,1292.0
4.55,164,6,19699,1059.588337198155,1292.0
4.56,165,7,19867,1059.588337198155,1292.0
4.56,166,8,19984,1059.588337198155,1292.0
4.57,167,9,20019,1059.588337198155,1292.0
4.57,168,10,20106,1059.588337198155,1292.0
4.7,169,11,20361,1059.588337198155,1292.0
4.7,170,12,20396,1059.588337198155,1292.0
4.7,171,12,20396,1059.588337198155,1292.0
4.7,172,9,20397,1059.588337198155,1292.0
4.71,173,10,20435,1059.588337198155,1292.0
4.92,174,11,20763,1059.588337198155,1292.0
4.93,175,12,20848,1059.588337198155,1292.0
4.93,176,13,20920,1059.588337198155,1292.0
4.93,177,13,20951,1059.588337198155,1292.0
4.94,178,14,20964,1059.588337198155,1292.0
4.94,179,15,21049,1059.588337198155,1292.0
4.95,180,16,21162,1059.588337198155,1292.0
4.95,181,17,21163,1059.588337198155,1292.0
4.95,182,18,21226,1059.588337198155,1292.0
4.96,183,19,21251,1059.588337198155,1292.0
4.96,184,19,21257,1059.588337198155,1292.0
4.96,185,10,21267,1059.588337198155,1292.0
5.21,186,11,21632,1059.588337198155,1292.0
5.22,187,12,21754,1059.588337198155,1292.0
5.24,188,13,22106,1059.588337198155,1292.0
5.24,189,14,22242,1059.588337198155,1292.0
5.24,190,14,22272,1059.588337198155,1292.0
5.25,191,15,22301,1059.588337198155,1292.0
5.25,192,15,22319,1059.588337198155,1292.0
5.25,193,16,22329,1059.588337198155,1292.0
5.25,194,16,22331,1059.588337198155,1292.0
5.25,195,17,22335,1059.588337198155,1292.0
5.25,196,17,22345,1059.588337198155,1292.0
5.25,197,10,22352,1059.588337198155,1292.0
5.34,198,11,22589,1059.588337198155,1292.0
5.35,199,12,22653,1059.588337198155,1292.0
5.35,200,13,22694,1059.588337198155,1292.0
5.35,201,14,22747,1059.588337198155,1292.0
5.35,202,15,22805,1059.588337198155,1292.0
5.36,203,16,22889,1059.588337198155,1292.0
5.36,204,17,22932,1059.588337198155,1292.0
5.36,205,18,22937,1059.588337198155,1292.0
5.36,206,18,22948,1059.588337198155,1292.0
5.36,207,5,22954,1059.588337198155,1292.0
5.37,208,6,23064,1059.588337198155,1292.0
5.38,209,7,23194,1059.588337198155,1292.0
5.38,210,8,23242,1059.588337198155,1292.0
5.38,211,9,23248,1059.588337198155,1292.0
5.38,212,10,23267,1059.588337198155,1292.0
5.52,213,11,23545,1059.588337198155,1292.0
5.53,214,12,23610,1059.588337198155,1292.0
5.53,215,13,23668,1059.588337198155,1292.0
5.53,216,13,23676,1059.588337198155,1292.0
5.54,217,14,23686,1059.588337198155,1292.0
5.54,218,14,23706,1059.588337198155,1292.0
5.54,219,15,23712,1059.588337198155,1292.0
5.54,220,15,23754,1059.588337198155,1292.0
5.54,221,16,23758,1059.588337198155,1292.0
5.54,222,4,23761,1059.588337198155,1292.0
5.55,223,5,23851,1059.588337198155,1292.0
5.55,224,6,23925,1059.588337198155,1292.0
5.56,225,7,24024,1059.588337198155,1292.0
5.56,226,8,24058,1059.588337198155,1292.0
5.56,227,9,24069,1059.588337198155,1292.0
5.57,228,10,24091,1059.588337198155,1292.0
5.66,229,11,24391,1059.588337198155,1292.0
5.67,230,12,24522,1059.588337198155,1292.0
5.68,231,13,24587,1059.588337198155,1292.0
5.69,232,14,24654,1059.588337198155,1292.0
5.69,233,15,24691,1059.588337198155,1292.0
5.69,234,15,24692,1059.588337198155,1292.0
5.69,235,6,24694,1059.588337198155,1292.0
5.7,236,7,24772,1059.588337198155,1292.0
5.7,237,8,24859,1059.588337198155,1292.0
5.71,238,9,25040,1059.588337198155,1292.0
5.71,239,10,25161,1059.588337198155,1292.0
5.79,240,11,25321,1059.588337198155,1292.0
5.8,241,12,25377,1059.588337198155,1292.0
5.8,242,13,25465,1059.588337198155,1292.0
5.8,243,13,25466,1059.588337198155,1292.0
5.8,244,7,25468,1059.588337198155,1292.0
5.81,245,8,25498,1059.588337198155,1292.0
5.81,246,9,25559,1059.588337198155,1292.0
5.81,247,10,25692,1059.588337198155,1292.0
5.91,248,11,25967,1059.588337198155,1292.0
5.92,249,12,25995,1059.588337198155,1292.0
5.93,250,13,26088,1059.588337198155,1292.0
5.93,251,14,26144,1059.588337198155,1292.0
5.93,252,15,26192,1059.588337198155,1292.0
5.93,253,16,26196,1059.588337198155,1292.0
5.93,254,17,26213,1059.588337198155,1292.0
5.93,255,17,26216,1059.588337198155,1292.0
5.93,256,18,26226,1059.588337198155,1292.0
5.93,257,9,26228,1059.588337198155,1292.0
5.94,258,10,26264,1059.588337198155,1292.0
6.04,259,11,26781,1059.588337198155,1292.0
6.05,260,12,26924,1059.588337198155,1292.0
6.06,261,13,26929,1059.588337198155,1292.0
6.07,262,14,27045,1059.588337198155,1292.0
6.08,263,15,27163,1059.588337198155,1292.0
6.1,264,16,27206,1059.588337198155,1292.0
6.11,265,17,27248,1059.588337198155,1292.0
6.11,266,17,27260,1059.588337198155,1292.0
6.11,267,18,27283,1059.588337198155,1292.0
6.11,268,18,27288,1059.588337198155,1292.0
6.12,269,19,27312,1059.588337198155,1292.0
6.12,270,20,27330,1059.588337198155,1292.0
6.12,271,20,27331,1059.588337198155,1292.0
6.12,272,8,27332,1059.588337198155,1292.0
6.13,273,9,27452,1059.588337198155,1292.0
6.14,274,10,27655,1059.588337198155,1292.0
6.22,275,11,28150,1059.588337198155,1292.0
6.24,276,12,28277,1059.588337198155,1292.0
6.25,277,13,28293,1059.588337198155,1292.0
6.25,278,14,28314,1059.588337198155,1292.0
6.26,279,15,28391,1059.588337198155,1292.0
6.27,280,16,28404,1059.588337198155,1292.0
6.27,281,16,28405,1059.588337198155,1292.0
6.27,282,9,28411,1059.588337198155,1292.0
6.28,283,10,28529,1059.588337198155,1292.0
6.38,284,11,28934,1059.588337198155,1292.0
6.39,285,12,28998,1059.588337198155,1292.0
6.39,286,13,29012,1059.588337198155,1292.0
6.4,287,14,29169,1059.588337198155,1292.0
6.4,288,15,29240,1059.588337198155,1292.0
6.41,289,15,29247,1059.588337198155,1292.0
6.41,290,16,29300,1059.588337198155,1292.0
6.41,291,17,29380,1059.588337198155,1292.0
6.41,292,18,29389,1059.588337198155,1292.0
6.42,293,19,29464,1059.588337198155,1292.0
6.42,294,19,29478,1059.588337198155,1292.0
6.42,295,7,29495,1059.588337198155,1286.0
6.42,296,8,29528,1059.588337198155,1286.0
6.43,297,9,29554,1059.588337198155,1286.0
6.44,298,10,29658,1059.588337198155,1286.0
6.57,299,11,29979,1059.588337198155,1286.0
6.58,300,12,30113,1059.588337198155,1286.0
6.58,301,13,30178,1059.588337198155,1286.0
6.58,302,13,30235,1059.588337198155,1286.0
6.58,303,14,30242,1059.588337198155,1286.0
6.58,304,15,30275,1059.588337198155,1286.0
6.59,305,15,30286,1059.588337198155,1286.0
6.59,306,16,30311,1059.588337198155,1286.0
6.59,307,16,30334,1059.588337198155,1286.0
6.59,308,6,30347,1059.588337198155,1286.0
6.59,309,7,30403,1059.588337198155,1286.0
6.6,310,8,30440,1059.588337198155,1286.0
6.6,311,9,30527,1059.588337198155,1286.0
6.61,312,10,30549,1059.588337198155,1286.0
6.76,313,11,30752,1059.588337198155,1286.0
6.76,314,12,30806,1059.588337198155,1286.0
6.76,315,13,30851,1059.588337198155,1286.0
6.76,316,13,30862,1059.588337198155,1286.0
6.76,317,14,30872,1059.588337198155,1286.0
6.77,318,14,30915,1059.588337198155,1286.0
6.77,319,15,30948,1059.588337198155,1286.0
6.77,320,15,30950,1059.588337198155,1286.0
6.77,321,16,30970,1059.588337198155,1286.0
6.77,322,16,30973,1059.588337198155,1286.0
6.77,323,8,30987,1059.588337198155,1286.0
6.78,324,9,31064,1059.588337198155,1286.0
6.78,325,10,31109,1059.588337198155,1286.0
7.0,326,11,31365,1059.588337198155,1286.0
7.0,327,12,31457,1059.588337198155,1286.0
7.01,328,13,31488,1059.588337198155,1286.0
7.02,329,14,31492,1059.588337198155,1286.0
7.02,330,14,31578,1059.588337198155,1286.0
7.03,331,15,31595,1059.588337198155,1286.0
7.03,332,16,31611,1059.588337198155,1286.0
7.03,333,16,31626,1059.588337198155,1286.0
7.04,334,10,31645,1059.588337198155,1286.0
7.15,335,11,32118,1059.588337198155,1286.0
7.16,336,12,32221,1059.588337198155,1286.0
7.17,337,6,32513,1059.588337198155,1286.0
7.18,338,7,32562,1059.588337198155,1286.0
7.18,339,8,32662,1059.588337198155,1286.0
7.19,340,7,32941,1059.588337198155,1286.0
7.2,341,8,32946,1059.588337198155,1286.0
7.2,342,9,33067,1059.588337198155,1286.0
7.2,343,10,33100,1059.588337198155,1286.0
7.29,344,11,33413,1059.588337198155,1286.0
7.32,345,10,33664,1059.588337198155,1286.0
7.56,346,11,34171,1059.588337198155,1286.0
7.56,347,12,34258,1059.588337198155,1286.0
7.57,348,9,34332,1059.588337198155,1286.0
7.58,349,10,34472,1059.588337198155,1286.0
7.73,350,11,34687,1059.588337198155,1286.0
7.74,351,3,34863,1059.588337198155,1286.0
7.76,352,4,35096,1070.5378174029531,1286.0
7.76,353,5,35293,1070.5378174029531,1286.0
7.77,354,5,35392,1070.5378174029531,1286.0
7.77,355,6,35489,1070.5378174029531,1286.0
7.77,356,7,35568,1070.5378174029531,1286.0
7.78,357,7,35728,1070.5378174029531,1286.0
7.78,358,8,35749,1070.5378174029531,1286.0
7.78,359,9,36001,1070.5378174029531,1286.0
7.8,360,8,36454,1070.5378174029531,1286.0
7.8,361,9,36476,1070.5378174029531,1286.0
7.81,362,10,36561,1070.5378174029531,1286.0
8.03,363,7,36854,1070.5378174029531,1286.0
8.04,364,8,36921,1070.5378174029531,1286.0
8.05,365,9,36981,1070.5378174029531,1286.0
8.07,366,9,37417,1070.5378174029531,1286.0
8.08,367,10,37494,1070.5378174029531,1286.0
8.16,368,11,37701,1070.5378174029531,1286.0
8.18,369,8,38312,1070.5378174029531,1286.0
8.18,370,9,38347,1070.5378174029531,1286.0
8.19,371,10,38479,1070.5378174029531,1286.0
8.32,372,9,38864,1070.5378174029531,1286.0
8.32,373,10,38888,1070.5378174029531,1286.0
8.43,374,11,39203,1070.5378174029531,1286.0
8.45,375,10,39380,1070.5378174029531,1286.0
8.54,376,11,39774,1070.5378174029531,1286.0
8.56,377,12,39863,1070.5378174029531,1286.0
8.57,378,8,40153,1070.5378174029531,1286.0
8.58,379,9,40210,1070.5378174029531,1286.0
8.59,380,10,40381,1070.5378174029531,1286.0
8.68,381,5,40936,1070.5378174029531,1286.0
8.69,382,6,41182,1071.8068237159573,1286.0
8.69,383,7,41190,1071.8068237159573,1286.0
8.7,384,8,41289,1071.8068237159573,1286.0
8.7,385,9,41391,1071.8068237159573,1286.0
8.71,386,10,41449,1071.8068237159573,1286.0
8.92,387,10,42206,1071.8068237159573,1286.0
9.02,388,11,42644,1071.8068237159573,1286.0
9.02,389,12,42769,1071.8068237159573,1286.0
9.03,390,8,42886,1071.8068237159573,1286.0
9.03,391,9,42975,1071.8068237159573,1286.0
9.04,392,10,43039,1071.8068237159573,1286.0
9.13,393,7,43377,1071.8068237159573,1286.0
9.14,394,8,43423,1071.8068237159573,1286.0
9.14,395,9,43505,1071.8068237159573,1286.0
9.16,396,6,43863,1071.8068237159573,1286.0
9.16,397,7,43944,1071.8068237159573,1286.0
9.17,398,8,44041,1071.8068237159573,1286.0
9.19,399,5,44560,1071.8068237159573,1286.0
9.2,400,6,44818,1071.8068237159573,1286.0
9.21,401,7,45000,1071.8068237159573,1286.0
9.21,402,6,45025,1071.8068237159573,1286.0
9.21,403,7,45040,1071.8068237159573,1286.0
9.22,404,8,45147,1071.8068237159573,1286.0
9.23,405,4,45483,1071.8068237159573,1286.0
9.24,406,5,45842,1071.8068237159573,1286.0
9.25,407,6,45918,1071.8068237159573,1286.0
9.36,408,10,51000,1071.8068237159573,1286.0
9.55,409,11,51306,1071.8068237159573,1286.0
9.55,410,12,51429,1071.8068237159573,1286.0
9.56,411,5,51607,1071.8068237159573,1286.0
9.57,412,6,51836,1075.9305977638808,1286.0
9.57,413,7,51957,1075.9305977638808,1286.0
9.58,414,4,52004,1075.9305977638808,1286.0
9.59,415,5,52118,1077.3884815139613,1286.0
9.6,416,6,52230,1077.3884815139613,1286.0
9.61,417,7,52327,1077.3884815139613,1286.0
